Name,Country,Period,Introit,Kyrie,Gradual,Tract,Sequence/Dies Irae,Offertory,Sanctus,Benedictus,Agnus Dei,Communion/lux aeterna,Lacrimosa,Pie Jesu,Libera Me,In Paradisum,Other Texts,Commissioned
John Rutter (1985),UK,20th Century,1,1,,,,,1,1,,,,1,,,additional Bible verses ,in memoriam L. F. R.
Joseph Ryelandt,Belgium,20th Century,,1,,,,,1,1,1,,,,,,,
Shigeaki Saegusa,Japan,20th Century,,,,,,,,,,,,,,,"Text by Ayoko Sono, a female Japanese poet and novelist",World War II 
Alfred Schnittke,Germany,20th Century,1,1,,,,,,1,1,,1,,,,,
Giovanni Sgambati (1901),Italy,20th Century,1,1,,,1,1,1,,1,1,,,1,,,
Valentin Silvestrov,Russia,20th Century,,,,,,,,,,,,,,,,For wife Larissa 
Fredrik Sixten,Sweden,20th Century,1,1,,,,1,1,,1,1,,1,1,,,
Robert Steadman,UK,20th Century,1,1,,,,1,1,,1,1,,1,,1,,
Igor Stravinsky,Russia,20th Century,,,,,1,,,,,,1,,1,,,
Toru Takemitsu,Japan,20th Century,,,,,,,,,,,,,,,,
John Tavener,UK,20th Century,1,1,,,1,,,,,,,,,,,
Virgil Thomson,American,20th Century,,,,,,,,,,,,,,,American texts ,"Commissioned by the State College of Education, Potsdam New York."
Erkki-Sven Tüür,Estonia,20th Century,,,,,,,,,,,,,,,,in memoriam Peeter Lilje
Malcolm Williamson,Australian,20th Century,1,1,,,,1,1,1,1,1,,1,1,1,,
Bernd Alois Zimmermann,German,20th Century,1,,,,,,,,,,,,,,,for a young poet 
John Starr Alexander ,USA,21st Century,,,,,,,,,,,,,,,,
Lera Auerbach,Russia,21st Century,1,1,,,,,,,,,1,,1,,other German and English texts ,Dedicated to the victims of nationalistic movements around the world
Leonardo Balada,Spain,21st Century,,,,,,,,,,,,,,,"agnostic, but based on other spirituals ",for his mother
Troy Banarzi,UK,21st Century,,,,,,,,,,,,1,,1,,
Virgin Black,Australia,21st Century,1,1,,,,1,,,,,1,,,1,,
Jamie Brown,UK,21st Century,,,,,,,,,,,,,,,evocative new Cornish text ‘Mernans ha Remembrans‘ (Death and Remembrance),poem 'Mernans ha Remembrans' by Rol Hodge
Paul Carr,UK,21st Century,,1,,,,,1,,1,1,,1,,,,
Bob Chilcott,,21st Century,1,1,,,,,1,1,,1,,1,,,"Thou knowest, Lord",
Richard Danielpour,USA,21st Century,1,,,,1,,1,,1,,,1,1,,"The texts in English, from Whitman, Emerson, Michael Harper, Hilda Doolittle (known as H.D.) and an anonymous Afro-American spiritua",victims of 9/11 
Stephen DeCesare,USA,21st Century,1,1,,,1,1,,,1,1,1,,,1,Ave Maria ,
Bradley Ellingboe,USA,21st Century,,,,,,,,,,,,,,,"John Donne, G Herbert ",
Mohammed Fairouz,USA,21st Century,,,,,,,,,,,,,,,other religious texts ,War
Carlo Forlivesi,Italy,21st Century,,,,,,,,,,,,,,,,
Howard Goodall,UK,21st Century,,1,,,1,,,,1,,1,,,1,laid beside them words from English poems from across the last 500 years.,commission from London Musici
