Age,City,State,Age,Total Time,Gender
"» Paulson, Christine (USA)",Saint John,IN,50,4:41:05,F
"» Erwin, Marcia (USA)",Charlotte,NC,56,4:41:06,F
"» Bartels, Whitney (USA)",Dallas,TX,29,4:41:06,F
"» Ovando, Michelle (USA)",Frankfort,IL,41,4:41:07,F
"» Vargas Trejo, Alejandra (MEX)",Guadalajara,JALISCO,40,4:41:07,F
"» Gifford, Holly (USA)",Fallston,MD,40,4:41:07,F
"» Jensen, Jennifer (USA)",Phoenix,AZ,47,4:41:07,F
"» Lazala, Yadira (DOM)",Santo Domingo,Santo...,44,4:41:08,F
"» Torres, Erika (MEX)",Zapopan,jalisco,38,4:41:09,F
"» Corona, Stacia (USA)",Madison,WI,45,4:41:09,F
"» Harling, Jennifer (USA)",Gilberts,IL,32,4:41:09,F
"» Ledlow, Karla (USA)",Lombard,IL,45,4:41:09,F
"» Stephens, Eve (USA)",Austin,TX,39,4:41:10,F
"» Hack, Jennifer (USA)",Kansas City,MO,35,4:41:11,F
"» Negrete, Ruby (USA)",Chicago,IL,19,4:41:11,F
"» Bond, Sarah (USA)",Chicago,IL,30,4:41:12,F
"» Patel, Puja (USA)",Boston,MA,30,4:41:12,F
"» Homyak, Beth (USA)",Cornelius,NC,34,4:41:13,F
"» Mirts, Jill (USA)",Livermore,CA,49,4:41:13,F
"» Reid, Aileen (USA)",Chicago,IL,28,4:41:13,F
"» Mena Miranda, Monica (USA)",Chicago,IL,26,4:41:14,F
"» Mikel, Eryn (USA)",Lubbock,TX,34,4:41:15,F
"» Fticsar, Christina (USA)",Chicago,IL,41,4:41:15,F
"» Matchett, Lillian (USA)",Los Angeles,CA,28,4:41:15,F
"» Stemple, Mallory (USA)",Xenia,OH,20,4:41:17,F
"» Defoore, Jasmine (USA)",Austin,TX,42,4:41:17,F
"» Davis, Jennifer (USA)",Elida,OH,40,4:41:17,F
"» Lawler, Allyson (USA)",Round Rock,TX,33,4:41:17,F
"» Vinton, Kay (USA)",Kingsville,MD,52,4:41:17,F
"» Demas, Annie (USA)",Chicago,IL,28,4:41:17,F
"» Vaniter, Allissa (USA)",Plainfield,IL,32,4:41:18,F
"» Gomez, Magaly (USA)",Alongquin,IL,33,4:41:19,F
"» Bailey, Yvonne (USA)",Sunnyvale,CA,33,4:41:19,F
"» Barrett, Whitney (USA)",Chicago,IL,30,4:41:19,F
"» Cook, Alison (USA)",Chicago,IL,28,4:41:19,F
"» Chase, Stephanie (USA)",Chesterfield,MO,28,4:41:19,F
"» Jacob, Terri (USA)",Ottawa,IL,50,4:41:19,F
"» Barboza, Marlen (USA)",Whiting,IN,27,4:41:20,F
"» Fernandez, Michelle (USA)",Unit 2A,IL,41,4:41:20,F
"» Lopresti, Jessica (USA)",Chicago,IL,40,4:41:20,F
"» Chen, Hsin Yun (TPE)",Taipei City 106,NA,35,4:41:20,F
"» Durren, Andrea (USA)",Naperville,IL,42,4:41:20,F
"» Ozols, Pauline (USA)",Chicago,IL,28,4:41:20,F
"» Oros, Loredana (ROU)",Cluj-Napoca,,31,4:41:21,F
"» Beamish-Lannon, Nora (USA)",Chicago,IL,26,4:41:21,F
"» Fore, Tysha (USA)",Chicago,IL,34,4:41:21,F
"» Koldobskaya, Yelena (USA)",Santa Monica,CA,36,4:41:22,F
"» Kotler, Joey (USA)",New York,NY,39,4:41:22,F
"» Hobbs, Wendy (USA)",Acworth,GA,50,4:41:22,F
"» Schappell, Lindsay (USA)",Washington,DC,26,4:41:22,F
"» Walters, Misty (USA)",Youngsville,LA,44,4:41:22,F
"» Davidson, Christian (USA)",Orlando,FL,33,4:41:23,F
"» Tantania, Maria (USA)",North Hills,CA,41,4:41:23,F
"» Trondle, Lauren (USA)",Covington,KY,28,4:41:24,F
"» Walde, Melanie (USA)",Muscatine,IA,23,4:41:26,F
"» Boucher, Maegan (USA)",Chicago,IL,25,4:41:26,F
"» Marquez, Brenda (USA)",Schaumburg,IL,31,4:41:26,F
"» Nichols-Smith, Gillian (USA)",Chicago,IL,33,4:41:28,F
"» Muglia, Julia (USA)",Chicago,IL,24,4:41:29,F
"» Derifield, Alison (USA)",Evanston,IL,30,4:41:29,F
"» Humen, Laura (USA)",Boston,MA,28,4:41:29,F
"» Bruner, Sara (USA)",Valparaiso,IN,39,4:41:29,F
"» Ruban, Amanda (USA)",Lemont,IL,21,4:41:29,F
"» Byerly, Jennifer (USA)",Fletcher,NC,44,4:41:30,F
"» Retzky Platt, Donna (USA)",Frankfort,IL,57,4:41:31,F
"» Kiser, Amanda (USA)",Thomasville,NC,33,4:41:33,F
"» Cook, Katie (USA)",Waltham,MA,35,4:41:33,F
"» Yoemans, Valarie (USA)",Thomasville,NC,38,4:41:34,F
"» Carmona, Tonantzin (USA)",Chicago,IL,26,4:41:34,F
"» Trapnell, Melanie (USA)",Round Hill,VA,38,4:41:35,F
"» Lopez, Maria Luisa (MEX)",Monterrey,Nuevo Leon,49,4:41:36,F
"» Mcmillan, Colleen (USA)",Pewaukee,WI,34,4:41:36,F
"» Marshall, Carol (USA)",North Andover,MA,54,4:41:36,F
"» Paulson, Tara (USA)",Saint John,IN,22,4:41:36,F
"» Quinto, Jenny (USA)",Schaumburg,IL,46,4:41:36,F
"» Rose, Jerri (USA)",Cleveland Heights,OH,40,4:41:36,F
"» Mansfield, Marie-Therese (USA)",Chicago,IL,36,4:41:37,F
"» Majors-Rodriguez, Kai (USA)",Charlotte,NY,35,4:41:37,F
"» Navarro, Marcia Eugenia (MEX)",Mexico,CIUDAD DE...,49,4:41:37,F
"» Thurber, Janet (USA)",Algonquin,IL,44,4:41:38,F
"» Sporrer, Carin (USA)",Chicago,IL,34,4:41:38,F
"» Keppler, Alyssa (USA)",Chicago,IL,29,4:41:39,F
"» Fang, Yihan (USA)",Short Hills,NJ,43,4:41:39,F
"» Wandelseck, Evi (BEL)",Aspelare,,46,4:41:39,F
"» Tiu, Joyce (CAN)",Makati,,36,4:41:39,F
"» King, Aimee (CAN)",Vancouver,BC,37,4:41:40,F
"» Ricketts, Alexa (USA)",Naperville,IL,21,4:41:40,F
"» Pritchard, Elizabeth (USA)",Ankeny,IA,20,4:41:40,F
"» Watson, Stephanie (USA)",Chicago,IL,25,4:41:41,F
"» Botsis, Ingrid (USA)",Ashland,MA,41,4:41:41,F
"» Westrope, Elizabeth (USA)",Chicago,IL,25,4:41:45,F
"» Swiontek, Lisa (USA)",Chicago,IL,50,4:41:47,F
"» Price, Jennifer (USA)",Morris,IL,41,4:41:47,F
"» Baxter, Kelly (NZL)",London,London,28,4:41:48,F
"» Peralta, Beatriz (ESA)",San Salvador,San Sa...,53,4:41:48,F
"» Khayal, Laila (USA)",Wheaton,IL,44,4:41:48,F
"» Rancifer, Sonja (USA)",Tallahasee,FL,42,4:41:48,F
"» Beeler, Kristin (USA)",Orland Park,IL,37,4:41:49,F
"» Amaro, Mirian (MEX)",Mexico,Distrito Federal,40,4:41:49,F
"» Shi, Yaru (CHN)",Chicago,IL,26,4:41:49,F
"» Jones, Jeanne (USA)",Manchester,NH,29,4:41:50,F
"» Ordonez, Lorenza (USA)",Chicago,IL,42,4:41:51,F
"» Hoey, Erin (USA)",Cottage Grove,WI,21,4:41:51,F
"» Mate, Malou (USA)",Annandale,VA,33,4:41:51,F
"» Gross, Karen (USA)",Chicago,IL,38,4:41:52,F
"» Crackel, Caroline (USA)",Huntsville,AL,33,4:41:52,F
"» Bailey, Grainne (USA)",Wilmette,IL,48,4:41:52,F
"» Suellentrop, Dacy (USA)",Wichita,KS,37,4:41:52,F
"» Escue, Corey (USA)",Chicago,IL,43,4:41:53,F
"» Wagner, Laura (USA)",Chattanooga,TN,25,4:41:53,F
"» Nyquist, Rebecca (USA)",Athens,GA,30,4:41:54,F
"» Wagner, Kathi (USA)",Chattanooga,TN,62,4:41:54,F
"» Yanli, Tao (CHN)",Shanghai,Shanghai,36,4:41:55,F
"» Grove, Elizabeth (USA)",Bourbonnais,IL,22,4:41:55,F
"» Boe, Megan (USA)",Chicago,IL,28,4:41:55,F
"» Arbitman, Melissa (USA)",New York,NY,30,4:41:55,F
"» Mittman, Cheryl (USA)",Chicago,IL,43,4:41:57,F
"» Zweifel, Whitney (USA)",Chicago,IL,30,4:41:57,F
"» Means, Denika (USA)",Hillsboro,TX,35,4:41:57,F
"» Mcleod, Amy (USA)",Mechanicsville,VA,46,4:41:57,F
"» Dahlinghaus, Catherine (USA)",Charlotte,NC,23,4:41:57,F
"» Goncalves, Mariana (BRA)",Miami,FL,36,4:41:58,F
"» Dingle, Joanna (GBR)",New York,NY,30,4:41:58,F
"» Barget, Siak (FRA)",Breuillet,,62,4:41:58,F
"» Kellison, Alexandra (USA)",Brooklyn,NY,25,4:41:58,F
"» Zhang, Lan (CHN)",Dalian,Liaoning,42,4:41:58,F
"» Stranger, Barbara (USA)",Chicago,IL,46,4:41:59,F
"» Duran, Lilian (BRA)",Campinas,SaO PAULO,44,4:41:59,F
"» Gralak, Anna (USA)",Chicago,IL,24,4:42:00,F
"» Waldier, Dena (USA)",Tinley Park,IL,22,4:42:00,F
"» Salter, Melissa (USA)",Charlestown,MA,41,4:42:00,F
"» Olivares, Adela (USA)",Diamond Bar,CA,48,4:42:01,F
"» Arriaga, Nelma (USA)",Chicago,IL,46,4:42:01,F
"» Zerari, Aicha (FRA)",Villepinte,,48,4:42:03,F
"» Deibert, Jessica (USA)",Brookfield,IL,37,4:42:03,F
"» Tirsun, Brenda (USA)",Port Washington,NY,56,4:42:04,F
"» Gerner, Crystal (USA)",Chicago,IL,34,4:42:04,F
"» Castellanos, Yeimee (GUA)",Guatemala,,37,4:42:04,F
"» Wicker, Maria (USA)",League City,TX,51,4:42:05,F
"» Ardizzoni, Sarah (USA)",Atlanta,GA,29,4:42:05,F
"» Throneburg, Lesley (USA)",Saint Charles,IL,43,4:42:05,F
"» Leese, Gretchen (USA)",Frankfort,IL,41,4:42:05,F
"» Ashley, Sarah (USA)",Traverse City,MI,32,4:42:06,F
"» Miller, Andrea (USA)",Villa Park,IL,42,4:42:07,F
"» Wilhelm, Lalita (SUI)",Kirchdorf,,57,4:42:07,F
"» Tobin, Caitriona (USA)",Chicago,IL,29,4:42:09,F
"» Eisenhauer, Mary (USA)",Dayton,OH,21,4:42:09,F
"» Zauderer, Anne (USA)",Wichita,KS,33,4:42:09,F
"» Araya, Natalia (CRC)",San Jose,,30,4:42:09,F
"» Hillner, Kim (USA)",Chicago,IL,48,4:42:09,F
"» Spottswood, Kat (USA)",Redmond,WA,34,4:42:10,F
"» Hunninghake, Sara (USA)",Brooklyn,NY,35,4:42:10,F
"» Martinez, Arlette (USA)",Chicago,IL,32,4:42:10,F
"» Carnall, Melissa (USA)",Chicago,IL,27,4:42:11,F
"» Shin, Boram (KOR)",Seoul,Seoul,28,4:42:11,F
"» Albor, Melanie (USA)",Lisle,IL,25,4:42:11,F
"» Langguth, Anne (USA)",Chicago,IL,29,4:42:11,F
"» Khoury, Alexandria (USA)",Woodbury,MN,20,4:42:11,F
"» Comblo, Patricia (USA)",Larchmont,NY,30,4:42:12,F
"» Eger, Lynne (USA)",Arlington,TX,56,4:42:12,F
"» Taylor, Sharron (USA)",Crown Point,IN,47,4:42:13,F
"» Shoaf, Katherine (USA)",Naperville,IL,25,4:42:13,F
"» Mcareavy, Conor (GBR)",Iowa City,IA,23,4:42:14,F
"» Baker, Melissa (USA)",Chicago,IL,40,4:42:14,F
"» Ospina, Juliana (COL)",Bogota,,45,4:42:14,F
"» Bales, Ann (USA)",Austin,TX,32,4:42:15,F
"» Badhwar, Kelly (USA)",Birmingham,MI,40,4:42:16,F
"» Huennekens, Christy (USA)",Naperville,IL,26,4:42:16,F
"» Yool, Jessica (GUA)",Manhattan,IL,39,4:42:16,F
"» Mateo Garcia, Alejandra (MEX)",Mexico City,DF,34,4:42:16,F
"» Hatfield, Megan (USA)",Durham,NC,25,4:42:16,F
"» Maulen, Courtney (USA)",Boston,MA,26,4:42:17,F
"» Jia, Yuqin (CHN)",Shenzhen,GUANGD...,30,4:42:17,F
"» Ramberg, Andrea (USA)",Harvard,IL,33,4:42:21,F
"» Nava, Rocio (USA)",Chicago,IL,26,4:42:21,F
"» Plaza, Lyannette (USA)",Waterbury,CT,30,4:42:22,F
"» Welch, Sherri (USA)",Hahira,GA,51,4:42:22,F
"» Brandon, Deanne (USA)",Chicago,IL,36,4:42:23,F
"» Allison, Laura (USA)",Kalamazoo,MI,28,4:42:23,F
"» Bermejo, Monica (IRL)",Dublin,Donamegade,40,4:42:24,F
"» Ahmad, Jalilah (USA)",Chicago,IL,39,4:42:24,F
"» Jacobsma, Sarah (USA)",Kalamazoo,MI,29,4:42:24,F
"» Slimming, Alison (GBR)",St Thomas,VI,52,4:42:25,F
"» Hailer-Vasko, Christine (USA)",Chicago,IL,43,4:42:26,F
"» Porter, Anna (USA)",Chicago,IL,36,4:42:26,F
"» Johnson, Shoko (JPN)",Chicago,IL,47,4:42:26,F
"» Jaster, Chelsea (USA)",Marina Del Rey,CA,33,4:42:26,F
"» Hartwig, Erin (USA)",Arlington Hts,IL,22,4:42:27,F
"» Marston, Jessica (USA)",Kalamazoo,MI,29,4:42:27,F
"» Goode, Amy (USA)",Memphis,TN,39,4:42:27,F
"» Rutt, Luanne (USA)",Deltona,FL,58,4:42:28,F
"» Yun, So (USA)",Parkville,MO,39,4:42:29,F
"» Jones, Naomi (USA)",Hoffman Estates,IL,44,4:42:29,F
"» Skubal, Corrie (USA)",Manitowoc,WI,37,4:42:29,F
"» Donovan, Kerry (USA)",Jersey City,NJ,30,4:42:30,F
"» Clintsman, Ashley (USA)",Loyal,WI,35,4:42:30,F
"» Tomaszewski, Gina (USA)",Carpentersville,IL,37,4:42:31,F
"» Kiurski, Beth (USA)",Livonia,MI,24,4:42:31,F
"» Stokey, Angela (USA)",Cedar Park,TX,37,4:42:31,F
"» Sprague, Katherine (USA)",Dover,NH,31,4:42:31,F
"» Swanson, Jennifer (USA)",Denver,CO,42,4:42:32,F
"» Meer, Michelle (USA)",Mintinlupa City,,44,4:42:33,F
"» Kim, Ji (USA)",Lawrenceville,GA,24,4:42:34,F
"» Neilson, Allison (CAN)",Grosse Pointe,MI,42,4:42:34,F
"» Cavanagh, Michelle (USA)",Mound,MN,31,4:42:35,F
"» Poludniak, Stephanie (USA)",Charlotte,NC,40,4:42:36,F
"» Revilla, Lauri (USA)",San Antonio,TX,32,4:42:37,F
"» Veling, Gretchen (USA)",Keller,TX,43,4:42:37,F
"» Loehr, Katherine (USA)",Houston,TX,25,4:42:37,F
"» Valenti, Katie (USA)",Madison,WI,26,4:42:38,F
"» Carrillo, Silvia (MEX)",Zapopan,Jal.,54,4:42:39,F
"» Culhane, Kelly (USA)",Lemont,IL,26,4:42:39,F
"» Barba, Hilda (USA)",Chicago,IL,31,4:42:40,F
"» Wang, Ruoxi (CHN)",Beijing,Beijing,46,4:42:41,F
"» Vermillion, Andrea (USA)",Mckinney,TX,35,4:42:41,F
"» Gripp, Lauren (USA)",Buffalo Gtove,IL,31,4:42:41,F
"» Viazcan, Carmen (MEX)",Xalapa,VERACRUZ,39,4:42:41,F
"» Pelch, Katie (USA)",Raleigh,NC,33,4:42:42,F
"» Bruno, Dianna (USA)",Chicago,IL,29,4:42:42,F
"» Hauser, Monica (USA)",Chicago,IL,27,4:42:42,F
"» Merk, Leona (USA)",Cambridge,MA,30,4:42:43,F
"» Wrona, Pamela (USA)",Hawthorne,CA,55,4:42:43,F
"» Iwamoto, Taeko (JPN)",Yokohama,Kanagawa,41,4:42:43,F
"» Wallace, Amanda (NZL)",Auckland,Whitford,51,4:42:43,F
"» Bodzewski, Jessica (USA)",Streamwood,IL,36,4:42:43,F
"» Karoff, Jamie (USA)",Chicago,IL,30,4:42:44,F
"» Harmon, Amalie (USA)",Lafayette,LA,42,4:42:44,F
"» Lopez, Juanita (USA)",New Lexon,IL,45,4:42:45,F
"» Pipia, Stephanie (USA)",Elmwood Park,IL,33,4:42:45,F
"» Yelloweyes, Rachel (USA)",Manhattan,IL,31,4:42:46,F
"» Langenbucher, Sandra (BRA)",Glen Allen,Henrico,44,4:42:47,F
"» Larsen, Andrea (USA)",Crest Hill,IL,41,4:42:48,F
"» Porras, Eliana (USA)",Plantation,FL,30,4:42:48,F
"» Ponce De Leon, Maricruz (USA)",Oak Park,IL,42,4:42:48,F
"» Blackwell, Krista (USA)",Silver Spring,MD,26,4:42:48,F
"» Siegwald, Angela (USA)",Louisville,KY,54,4:42:48,F
"» Divito, Danielle (USA)",Chicago,IL,29,4:42:49,F
"» Parker, Emily (USA)",Chicago,IL,27,4:42:49,F
"» Morris, Ellen (USA)",Chicago,IL,30,4:42:49,F
"» Abarca, Jacqueline (USA)",Chicago,IL,46,4:42:50,F
"» Xu, Shengmei (CHN)",Urbana,IL,25,4:42:50,F
"» Dreeben, Susan (USA)",Chicago,IL,30,4:42:51,F
"» Gorden, Tess (USA)",Indianapolis,IN,27,4:42:51,F
"» Mickens, Cassandra (USA)",Hoover,AL,33,4:42:52,F
"» Metsa, Samantha (USA)",Chicago,IL,23,4:42:53,F
"» Milic, Silvana (CRO)",Zagreb,,40,4:42:53,F
"» Park, Shinyoung (KOR)",San Francisco,CA,41,4:42:54,F
"» Wagner, Robbie (USA)",Victor,NY,42,4:42:54,F
"» Belsito, Christina (USA)",Boston,MA,28,4:42:54,F
"» Clapp, Keri (USA)",Villanova,PA,50,4:42:56,F
"» Ziglar, Janet (USA)",Colfax,NC,56,4:42:56,F
"» Whitney, Nicole (USA)",Cohasset,MA,29,4:42:56,F
"» Charles, Valery (USA)",New york,Ny,29,4:42:57,F
"» Simpson, Samantha (USA)",Arlington,MA,35,4:42:57,F
"» Zotto, Laura (USA)",Chicago,IL,27,4:42:57,F
"» Pearson, Emily (USA)",Lawrence,MI,21,4:42:58,F
"» Key, Nenuska (VEN)",Vernon Hills,IL,41,4:42:59,F
"» Yerkes, Kelsey (USA)",Palos Heights,IL,26,4:42:59,F
"» Stewarts, Sarah (USA)",Gary,IN,32,4:42:59,F
"» Stone, Sophie (USA)",New Cumberland,PA,24,4:42:59,F
"» Abbott, Tara (USA)",Chicago,IL,45,4:42:59,F
"» Walsh, Amanda (USA)",Chicago,IL,37,4:43:00,F
"» Mahoney, Anne (USA)",Inverness,IL,20,4:43:01,F
"» Ryan, Mairead (IRL)",Borrisokane,Tipperary,45,4:43:01,F
"» Velazquez, Socorro (MEX)",Cicero,IL,35,4:43:02,F
"» Calabrese, Nicole (USA)",Wood Dale,IL,29,4:43:02,F
"» Daly, Katherine (USA)",New York,NY,24,4:43:03,F
"» Kassler, Meredith (USA)",New York,NY,24,4:43:03,F
"» Riedel, Claire (USA)",Weston,MA,25,4:43:04,F
"» Sendlak, Megan (USA)",Chicago,IL,40,4:43:04,F
"» Mitchell, Ourania (USA)",Shreveport,LA,52,4:43:04,F
"» Corbin, Carol (USA)",Bakersfield,CA,48,4:43:04,F
"» Crouse, Genevieve (USA)",Chicago,IL,35,4:43:05,F
"» Krupka, Mary (USA)",Chicago,IL,33,4:43:05,F
"» Basa, Maryloise (PHI)",Hoffman Estates,IL,42,4:43:05,F
"» Delassus, Marie Claude (FRA)",Chanteau,,64,4:43:05,F
"» Williams, Maria (USA)",Fresno,CA,40,4:43:06,F
"» Ortega, Rachel (USA)",Wayland,MI,35,4:43:06,F
"» Myers, Amanda (USA)",Charleston,SC,37,4:43:07,F
"» Goyert, Emily (USA)",Ann Arbor,MI,27,4:43:07,F
"» Whetsel, Kimberly (USA)",West Palm Beach,FL,40,4:43:08,F
"» Cornell, Leah (USA)",Trinity,FL,30,4:43:08,F
"» Owen, Samantha (USA)",Louisville,KY,37,4:43:08,F
"» Tecson, Michelle (USA)",Chicago,IL,41,4:43:09,F
"» Ennis, Jennifer (USA)",Chicago,IL,40,4:43:09,F
"» Esposito, Monica (GUA)",Guatemala,,29,4:43:09,F
"» Jung, Kelly (USA)",Chicago,IL,32,4:43:09,F
"» Peng, Zhengyu (CHN)",Bei Jing,BEI JING,25,4:43:09,F
"» Esposito, Ana (GUA)",Guatemala,,25,4:43:10,F
"» Woo, Kar Mun Brenda (SIN)",Singapore,,41,4:43:11,F
"» Zhang, Li (CHN)",Shenzhen,GUANGD...,46,4:43:11,F
"» Peterson, Alexa (USA)",Denver,CO,33,4:43:11,F
"» Howard, Gillian (GBR)",Edinburgh,LOTHIAN,44,4:43:11,F
"» Wagh, Sangeeta (CAN)",Wilmette,IL,43,4:43:11,F
"» Conley, Andrea (USA)",North Reading,MA,43,4:43:13,F
"» Stanek, Erin (USA)",Madison,WI,25,4:43:13,F
"» Sven, Ember (USA)",Chicago,IL,36,4:43:13,F
"» Burnett, Lindsay (USA)",Granger,IN,33,4:43:13,F
"» Miner, Cherise (USA)",Morrison,CO,42,4:43:14,F
"» Yiu, Sindy (USA)",Woodhaven,NY,33,4:43:15,F
"» Jones, Trista (USA)",Chicago,IL,44,4:43:15,F
"» Soliman, Lilly (USA)",Holly Springs,NC,45,4:43:16,F
"» Lecker, Katherine (USA)",Troy,VA,31,4:43:17,F
"» Warwood, Erin (USA)",Northville,MI,21,4:43:17,F
"» Arias, Erika (DOM)",Santo Domingo,Distrit...,32,4:43:17,F
"» Jones, Cassandra (USA)",Chicago,IL,29,4:43:17,F
"» Hiltenbrand, Ashley (USA)",Winfield,IL,28,4:43:18,F
"» Baxter, Nichola (GBR)",Hoboken,NJ,41,4:43:18,F
"» Malacane, Lisa (USA)",Auburndale,FL,47,4:43:18,F
"» Vivacqua, Natalie (USA)",Wayne,IL,28,4:43:19,F
"» Cardosi, Denise (USA)",Williams Bay,WI,60,4:43:19,F
"» Mcneela, Katrina (USA)",Bloomingdale,IL,24,4:43:19,F
"» Kai, Shinobu (JPN)",Sagamihara,Kanagawa,41,4:43:20,F
"» Sikorski, Kelly (USA)",West Allis,WI,30,4:43:20,F
"» Mcauliffe, Judith (USA)",Evergreen Park,IL,47,4:43:24,F
"» Dooley, Amy (USA)",Park Ridge,IL,45,4:43:25,F
"» Tague, Barb (USA)",Bryn Mawr,PA,34,4:43:25,F
"» Mclean, Kiley (USA)",Elmhurst,IL,24,4:43:26,F
"» Zumbado, Pilar (CAN)",Vancouver,BC,36,4:43:26,F
"» Mutschler, Kelli (USA)",Hudson,WI,43,4:43:26,F
"» Colannino, Amanda (USA)",Tinton Falls,NJ,39,4:43:27,F
"» Dallas, Britton (USA)",Indianapolis,IN,24,4:43:27,F
"» Lathrop, Pamela (USA)",North Andover,MA,48,4:43:28,F
"» Payne, Channing (USA)",Chicago,IL,28,4:43:28,F
"» Therrien, Roxane (CAN)",Blainville,QC,38,4:43:30,F
"» Perez De Leon Garcia, Raquel (MEX)",Ciudad De Mexico,Dist...,29,4:43:30,F
"» Fann, Amy (USA)",Davison,MI,29,4:43:31,F
"» Elizaga, Miriam (USA)",San Jose,CA,42,4:43:31,F
"» Sturdevant, Keri (USA)",Corpus Christi,TX,30,4:43:32,F
"» Miller, Kristi (USA)",Chicago,IL,50,4:43:33,F
"» Virgo, Erin (USA)",Chicago,IL,31,4:43:34,F
"» Kang, Natisha (USA)",San Francisco,CA,31,4:43:34,F
"» Ko, Hyun (USA)",Morton Grove,IL,59,4:43:34,F
"» Hsu, Hung Erh (TPE)",Chicago,IL,23,4:43:35,F
"» Lo, Sheila (USA)",West Covina,CA,22,4:43:35,F
"» Moleski-Lariviere, Danielle (USA)",Monroe,CT,34,4:43:36,F
"» Lau, Lisa (CAN)",Hong Kong,Hong Kong,52,4:43:37,F
"» Zanini, Giulia (ITA)",Chicago,IL,23,4:43:37,F
"» Salazar, Mayuca (MEX)",San Pedro Garza Gar...,,38,4:43:37,F
"» Edmonds, Angela (USA)",Hilliard,OH,41,4:43:37,F
"» Benik, Melissa (USA)",Arlington,VA,36,4:43:39,F
"» Mandeville, Michelle (USA)",Severna Park,MD,21,4:43:39,F
"» Brioni, Carla (USA)",Vernon Hills,IL,27,4:43:39,F
"» Uribe, Melania (CRC)",San Jose,,27,4:43:39,F
"» Borden, Caryn (USA)",Fall River,MA,34,4:43:40,F
"» Garcia, Rosa (MEX)",Mexico City,Mexico City,35,4:43:41,F
"» Behnke, Sharie (USA)",Bolingbrook,IL,46,4:43:41,F
"» Ibarra Roman, Fernanda (MEX)",Zapopan,Jalisco,27,4:43:41,F
"» Romero, Veronica (USA)",Burbak,IL,38,4:43:42,F
"» Hardies, Erin (USA)",Burr Ridge,IL,50,4:43:42,F
"» Peterson, Kristin (USA)",Sioux Falls,SD,27,4:43:43,F
"» Lee, Queenie (USA)",Evanston,IL,27,4:43:43,F
"» Langer, Jennifer (USA)",Free Union,VA,38,4:43:43,F
"» Garst, Jennifer (USA)",Downers Grove,IL,38,4:43:44,F
"» Salazar, Angela (USA)",Omaha,NE,24,4:43:44,F
"» Tatio, Claudia (CHI)",Santiago,,40,4:43:45,F
"» Kieffer, Heather (USA)",Montgomery,IL,43,4:43:45,F
"» Nicholls, Jennifer (USA)",Franklin,MA,38,4:43:45,F
"» Goldman, Rachel (USA)",New York,NY,34,4:43:46,F
"» Steed, Kathleen (USA)",Orland Park,IL,58,4:43:46,F
"» Benfanti, Marisa (USA)",San Francisco,CA,27,4:43:46,F
"» Benfanti, Francesca (USA)",San Pedro,CA,25,4:43:47,F
"» Sierra Lopera, Angela (COL)",Bogotai,,53,4:43:47,F
"» Lin, Nora (USA)",Long Island City,NY,25,4:43:49,F
"» Godfrey, Vickie (USA)",Chicago,IL,55,4:43:49,F
"» Boyer, Mary (USA)",Newburgh,NY,43,4:43:50,F
"» Krieger, Kristin (USA)",Tinley Park,IL,30,4:43:50,F
"» Hurtubise, Claire (USA)",Toronto,ON,42,4:43:50,F
"» Weiss, Jill (USA)",Dunlap,IL,47,4:43:50,F
"» Lutes, Audrey (USA)",Athens,OH,27,4:43:51,F
"» Andrews, Kim (USA)",Glen Ellyn,IL,33,4:43:51,F
"» Bishara, Wilma (USA)",Everett,MA,51,4:43:51,F
"» Wieroniey, Jennifer (USA)",Washington,DC,30,4:43:52,F
"» Malartsik, Dawn (USA)",Aurora,IL,45,4:43:52,F
"» Watson, Jennifer (USA)",Grand Blanc,MI,45,4:43:52,F
"» Seiter, Krista (CAN)",Holly,MI,40,4:43:52,F
"» Silverstein, Debbie (USA)",Wilmette,IL,46,4:43:52,F
"» Ennis, Stacy (USA)",Lowell,MA,36,4:43:54,F
"» Kracikova, Martina (GBR)",New York,NY,37,4:43:55,F
"» Aasen, Margaret (USA)",Shorewood,WI,23,4:43:55,F
"» Kluzowska, Joanna (USA)",Westmont,IL,24,4:43:55,F
"» Fishbaugh, Judy (USA)",Oak Forest,IL,52,4:43:55,F
"» Prisco, Julia (USA)",Upper Saddle River,NJ,41,4:43:55,F
"» Shtoiko, Inna (USA)",Chicago,IL,28,4:43:56,F
"» Su, Emily (USA)",Denver,CO,42,4:43:56,F
"» Currie, Gillian (GBR)",Livingston,West Lothian,42,4:43:56,F
"» Wilmot, Christine (USA)",Concord,NH,60,4:43:57,F
"» Cranston, Patricia (CAN)",Lambton Shores,ON,68,4:43:57,F
"» Costantino, Jill (CAN)",Burnaby,BC,38,4:43:58,F
"» Stelpflug, Diane (USA)",New Berlin,WI,56,4:43:58,F
"» Little, Elizabeth (USA)",Indianapolis,IN,27,4:43:58,F
"» Keefe, Andrea (USA)",Chicago,IL,38,4:43:58,F
"» Fuller, Valerie (USA)",Akron,OH,45,4:43:58,F
"» Kinzly, Michelle (USA)",Corning,NewYork,33,4:43:58,F
"» Pattermann, Rachel (USA)",Denver,CO,24,4:43:59,F
"» Estrada, Evelyn (USA)",Chicago,IL,33,4:43:59,F
"» Lyons, Katherine (USA)",Pembroke,MA,31,4:44:00,F
