Age,City,State,Age,Total Time,Gender
"» Andreski, Erin (USA)",Dousman,WI,30,3:11:05,F
"» Rosapep, Lauren (USA)",Washington,DC,33,3:11:05,F
"» Blondell, Jillian (USA)",Woodridge,IL,32,3:11:06,F
"» Kenny, Vanessa (USA)",New Lenox,IL,29,3:11:08,F
"» Menschel, Celene (USA)",New York,NY,33,3:11:10,F
"» Fox, Rachel (USA)",Flower Mound,TX,43,3:11:12,F
"» Whinihan, Erika (USA)",Seattle,WA,36,3:11:12,F
"» Morgan, Mariko (JPN)",Spokane,WA,36,3:11:19,F
"» Galvez Bakx, Claudia (CHI)",Vitacura,Santiago,33,3:11:27,F
"» Ostaszewski, Sarah (USA)",Crown Point,IN,25,3:11:31,F
"» Zepeda, Yessica (MEX)",Mexico,CIUDAD DE...,31,3:11:34,F
"» Huerta, Sarah (USA)",Winona,MN,27,3:11:35,F
"» Haavisto, Elina (FIN)",Helsinki,,43,3:11:35,F
"» Pavicic, Mary Patricia (USA)",Euclid,OH,33,3:11:39,F
"» John, Samantha (USA)",Long Island City,NY,30,3:11:39,F
"» Melchor, Nerida (MEX)",Puebla,PUEBLA,38,3:11:41,F
"» Menke, Becca (USA)",Chicago,IL,28,3:11:43,F
"» Osler, Jennifer (USA)",Colorado Springs,CO,39,3:11:46,F
"» Kirkham, Samantha (GBR)",Hinsdale,IL,40,3:11:48,F
"» Vazzana, Monica (ITA)",Castellanza,varese,38,3:11:54,F
"» Ferrell-Adams, Evan (USA)",Cedar Bluff,VA,24,3:11:54,F
"» Cassar, Alexandra (USA)",Bellevue,NE,31,3:11:59,F
"» Gomez Reyes, Monica (MEX)",Tlajomulco De Zuniga,...,28,3:12:07,F
"» Kotara, Kristin (USA)",Mokena,IL,38,3:12:08,F
"» Nettik, Jenni (USA)",Denver,CO,37,3:12:11,F
"» Egan, Alison (USA)",New York,NY,30,3:12:14,F
"» Flynn, Jennifer (USA)",Jamaica Plain,MA,31,3:12:20,F
"» Byers, Meredith (USA)",Long Island City,NY,28,3:12:21,F
"» Bellemare, Karine (CAN)",Mascouche,QC,39,3:12:22,F
"» Grace, Jane (GBR)",Grouville,Jersey,44,3:12:26,F
"» Hull, Allie (USA)",Chicago,IL,25,3:12:42,F
"» Karssemeijer, Roos (NED)",New York,NY,30,3:12:42,F
"» Higashi, Sabrina (USA)",Dana Point,CA,42,3:12:44,F
"» Wickstrom, Kelly (USA)",Los Angeles,CA,39,3:12:49,F
"» Groppler, Stacy (CAN)",London,ON,42,3:12:59,F
"» Wankowski, Julie (USA)",Deforest,WI,46,3:13:05,F
"» Bray, Brooke (USA)",San Francisco,CA,40,3:13:08,F
"» Adams, Julia (USA)",Peoria,IL,33,3:13:09,F
"» Steele, Patricia (USA)",Seattle,WA,33,3:13:13,F
"» De Sa Moreira, Rosa (SUI)",Merenschwand,,49,3:13:20,F
"» Kapanowski, Stephanie (USA)",Southgate,MI,37,3:13:23,F
"» Meyer, Flavia (BRA)",Sao Jose Dos Pinhais...,,34,3:13:24,F
"» Cabrera Juarez, Nancy (MEX)",Col. Magdalena Atlazolpa...,,33,3:13:25,F
"» Furimsky, Erin (USA)",Bloomington,IL,41,3:13:33,F
"» Primus, Penny (USA)",Tampa,FL,32,3:13:36,F
"» Cupp, Halle (USA)",Liberty Twp,OH,35,3:13:37,F
"» Schulz, Anneliese (USA)",Elk Grove Village,IL,19,3:13:49,F
"» Mccarthy, Sheila (USA)",San Francisco,CA,46,3:13:51,F
"» Omalley, Kim (USA)",Lakewood,CO,40,3:13:52,F
"» Hine, Melissa (USA)",Holyoke,MA,27,3:13:52,F
"» Portman, Sarah (USA)",Burlingame,CA,31,3:13:54,F
"» Zwickert, Kristy (AUS)",Pearce,ACT,34,3:13:56,F
"» De Lon, Ana Cecilia (MEX)",San Pedro,NUEVO...,36,3:13:56,F
"» Ave Maria, Elizabeth (USA)",Morton Grove,IL,27,3:13:57,F
"» Elko, Erika (USA)",Washington,DC,27,3:14:01,F
"» Doshi, Megha (USA)",San Francisco,CA,34,3:14:03,F
"» Perry, Alexandra (USA)",Baltimore,MD,23,3:14:05,F
"» Brittan, Grace (USA)",Littleton,CO,22,3:14:16,F
"» Nyholm, Karyn (USA)",Dallas,TX,29,3:14:17,F
"» Tyszuk, Artur (POL)",Middle Village,NY,36,3:14:21,F
"» Beahan, Kelly (USA)",Schaumburg,IL,40,3:14:24,F
"» Kennedy, Danielle (USA)",Mishawaka,IN,24,3:14:25,F
"» Gao, Bibo (CHN)",Buffalo Grove,IL,38,3:14:26,F
"» Mello Cattaruzzi, Valeria (BRA)",Sao Bernardo Do ...,,35,3:14:28,F
"» Chen, Mei-Tung (TPE)",San Francisco,CA,31,3:14:31,F
"» Santoro, Kathleen (USA)",Boston,MA,45,3:14:32,F
"» Bowman, Bethany (USA)",Pittsburgh,PA,30,3:14:32,F
"» Dhingra, Meera (USA)",Denver,CO,35,3:14:36,F
"» Hatfield, Linda (USA)",Apex,NC,48,3:14:36,F
"» Iannizzotto, Denise (USA)",Lake Katrine,NY,53,3:14:38,F
"» Mccalley, Katherine (USA)",Haddonfield,NJ,37,3:14:40,F
"» Hilton, Ryan (USA)",Wilmington,NC,33,3:14:42,F
"» Kubkova, Lenka (CZE)",Praha 9,,42,3:14:55,F
"» Japlon, Olivia (USA)",Boston,MA,26,3:14:55,F
"» Glusac, Rebecca (USA)",Santa Barbara,CA,34,3:15:01,F
"» Pelliccia, Lydia (USA)",Washington,DC,48,3:15:04,F
"» Greenwood, Heather (USA)",San Francisco,CA,34,3:15:05,F
"» Steffes, Lisa (USA)",Hazleton,PA,45,3:15:07,F
"» Smallidge, Tara (USA)",Kenosha,WI,36,3:15:15,F
"» O'Hora, Andrea (USA)",Trinity,FL,32,3:15:16,F
"» Beeson, Danelle (CAN)",Lake Forest,IL,27,3:15:17,F
"» Beaton - Marx, Meredith (USA)",Brookline,MA,29,3:15:22,F
"» Igoe, Dominique (USA)",Boulder,CO,31,3:15:22,F
"» Hendrickson, Victoria (USA)",Walnut Creek,CA,27,3:15:28,F
"» Grimes, Katharine (USA)",New York,NY,24,3:15:29,F
"» Evans, Ashley (USA)",Nashville,TN,30,3:15:34,F
"» Chamorro Gine, Magdalena (CHI)",Santiago,,31,3:15:35,F
"» Underwood, Karie (USA)",Holladay,UT,41,3:15:36,F
"» Bovee, Allison (USA)",Ponte Vedra Beach,...,36,3:15:36,F
"» Stacey, Maura (USA)",Westerville,OH,43,3:15:38,F
"» Valcarlos, Claudina (USA)",Seattle,WA,34,3:15:42,F
"» Wahlmann, Kate (USA)",Cary,NC,33,3:15:45,F
"» Faulkner, Meredith (USA)",Charlotte,NC,34,3:15:47,F
"» Wheeler, Karen (USA)",Ann Arbor,MI,31,3:15:47,F
"» Ruffolo, Sherry (USA)",South Barrington,IL,44,3:15:48,F
"» Mccarey, Erin (USA)",Byron,IL,22,3:15:54,F
"» Dublin, Malinda (USA)",Arlington,MA,38,3:15:58,F
"» Tulchin, Rachel (USA)",New York,NY,34,3:16:02,F
"» Moxley, Alexandra (USA)",Chicago,IL,26,3:16:03,F
"» Straub, Crissy (USA)",Lexington,MA,38,3:16:05,F
"» L'Abbe, Fabienne (CAN)",Toronto,ON,37,3:16:13,F
"» Marieni, Christine (USA)",Dorchester,MA,31,3:16:20,F
"» Amidon, Elizabeth (USA)",Chicago,IL,41,3:16:22,F
"» Varzeas, Kelsey (USA)",South Chatham,MA,23,3:16:35,F
"» Junnila, Elina (FIN)",Naantali,,39,3:16:36,F
"» Ferrer, Ivonne (USA)",Trujillo Alto,PR,41,3:16:53,F
"» Porter, Amanda (USA)",Chicago,IL,26,3:16:56,F
"» Cranfill, Katy (USA)",Irving,TX,24,3:16:56,F
"» Geraghty, Faith (IRL)",Randwick,NSW,37,3:16:56,F
"» Pottle, Rachel (USA)",St. Charles,IL,22,3:16:57,F
"» Quesada, Kimberly (CRC)",Cartago,,25,3:17:01,F
"» Gonzales, Lidia (PER)",Lima,,42,3:17:05,F
"» Taylor, Annie (USA)",Denver,CO,24,3:17:06,F
"» Priebe, Maggie (USA)",Wausau,WI,25,3:17:07,F
"» Kennedy, Laura (USA)",Lake Forest,IL,59,3:17:07,F
"» Whiteside, Kristen (USA)",Winthrop Harbor,IL,24,3:17:07,F
"» Arriaga, Yesenia (MEX)",Cicero,IL,28,3:17:08,F
"» Spitsyna, Maria (RUS)",Moscow,Moscow,29,3:17:08,F
"» Gollnick, Marion (GER)",Reilingen,,48,3:17:12,F
"» Liu, Chunhua (CHN)",Newton,MA,47,3:17:12,F
"» Saxton, Kaila (USA)",Poplar Bluff,MO,27,3:17:17,F
"» Dawkins, Erika (USA)",Houston,TX,29,3:17:19,F
"» Carpenter, Heather (USA)",Charlotte,NC,44,3:17:20,F
"» Lundquist, Kasia (USA)",Boulder,CO,40,3:17:22,F
"» Porada, Katie (USA)",Clarendon Hills,IL,24,3:17:22,F
"» Volonsevich, Katia (USA)",Fairfax,VA,42,3:17:23,F
"» Hislop, Tory (CAN)",Chicago,IL,29,3:17:24,F
"» Meadors, Jacqui (USA)",Sioux Falls,SD,36,3:17:27,F
"» Mcneilly, Dannielle (USA)",Brooklyn,NY,30,3:17:29,F
"» Haro, Lauren (USA)",Baton Rouge,LA,34,3:17:29,F
"» Venezia, Jaime (USA)",Woodside,NY,38,3:17:43,F
"» Macejik, Madelyn (USA)",Chicago,IL,30,3:17:46,F
"» Sizer, Brooke (USA)",Houston,TX,29,3:17:46,F
"» Healy, Kaileen (USA)",Chicago,IL,24,3:17:55,F
"» Larsen, Rebecca (USA)",Louisville,CO,41,3:17:56,F
"» Abreu, Arelis (VEN)",Caracas,MIRANDA,29,3:17:56,F
"» Pena, Estefania (VEN)",Panama,Panama,28,3:17:56,F
"» Brewczynski, Megan (USA)",Midlothian,IL,34,3:17:56,F
"» Ureta, Camila (CHI)",Santiago,,30,3:17:58,F
"» Rodriguez-Ramos, Janytzabell (USA)",New Bedford,MA,30,3:17:59,F
"» Cohen, Wendy (USA)",Fort Worth,TX,26,3:17:59,F
"» Sobczak, Karolina (POL)",Topola Osiedle,Wielkop...,29,3:18:01,F
"» Koren, Katie (USA)",Chicago,IL,34,3:18:01,F
"» Jaffke, Erin (USA)",Boston,MA,24,3:18:04,F
"» Avelar, Belen (MEX)",Mexico City,DF,30,3:18:04,F
"» Joyce, Elizabeth (USA)",Winnetka,IL,22,3:18:05,F
"» Grimyser, Jennifer (USA)",Ridgewood,NY,32,3:18:07,F
"» Yonemura, Mio (JPN)",Melrose,MA,38,3:18:07,F
"» Dickson, Ellie (USA)",Champaign,IL,28,3:18:10,F
"» Bird Wallen, Jessica (USA)",Chicago,IL,33,3:18:10,F
"» Kanak, Maggie (USA)",Newtown,PA,50,3:18:12,F
"» Douglas, Amber (USA)",Camden,TN,38,3:18:13,F
"» Walsh, Elizabeth (USA)",Mountain Lakes,NJ,38,3:18:17,F
"» Cognetti, Catherine (USA)",New York,NY,26,3:18:25,F
"» Ramsey, Jessica (USA)",North Charleston,SC,26,3:18:27,F
"» Mulac, Lauren (USA)",Lemont,IL,28,3:18:27,F
"» Kalk, Amanda (USA)",Middletown,DE,29,3:18:28,F
"» Husted, Shannon (USA)",Boulder,CO,45,3:18:29,F
"» Moore, Rachel (USA)",Chicago,IL,26,3:18:30,F
"» Abernethy, Brogan (USA)",Miami,FL,25,3:18:33,F
"» Effrein, Gabriella (USA)",Buffalo,NY,23,3:18:37,F
"» Collin, Claire (USA)",Hoschton,GA,25,3:18:40,F
"» Mcguire, Katie (USA)",Oakland,CA,34,3:18:41,F
"» Vitale-Cumper, Giulietta (GBR)",Swindon,wiltshire,50,3:18:41,F
"» Longhurst, Tracy (USA)",Tazewell,TN,33,3:18:45,F
"» Lengel, Jessica (USA)",Grand Terrace,CA,29,3:18:46,F
"» Ball, Katherine (USA)",Caldwell,ID,30,3:18:48,F
"» Young, Lauren (USA)",Chicago,IL,27,3:18:49,F
"» Borel-Donohue, Julia (USA)",Chicago,IL,25,3:18:49,F
"» Kopelson, Alana (USA)",Cherry Hill,NJ,22,3:18:50,F
"» Gomez Gamboa, Natalia (VEN)",Oakville,ON,46,3:18:50,F
"» Powal, Kristin (USA)",Barrington,IL,28,3:18:51,F
"» Ruzicka, Adrienne (USA)",Pittsburgh,PA,33,3:18:53,F
"» Williams, Brooke (USA)",St. Charles,IL,40,3:18:53,F
"» Wetzel, Anna (USA)",Chicago,IL,26,3:18:59,F
"» Thomson, Lorna (USA)",San Francisco,CA,51,3:19:06,F
"» Harmon, Meaghan (USA)",Arlington Heights,IL,38,3:19:07,F
"» Higgins, Mary (USA)",State College,PA,26,3:19:09,F
"» Zhu, Jin (USA)",Farmington Hills,MI,53,3:19:11,F
"» Francisco, Adriana (BRA)",Sao Paulo,SP,34,3:19:12,F
"» Peters, Annie (USA)",Mountain Lakes,NJ,41,3:19:15,F
"» Lin, Nancy (USA)",Bayside,NY,26,3:19:18,F
"» Pilon, Cathleen (USA)",Camillus,NY,33,3:19:18,F
"» Reeves, Hilary (USA)",Skaneateles,NY,32,3:19:19,F
"» Newton, Jennifer (USA)",Bay Village,OH,42,3:19:22,F
"» Roybal, Robyn (USA)",Rancho Cucamonga,CA,55,3:19:29,F
"» Devereux, Lisa (USA)",Western Springs,IL,27,3:19:29,F
"» Myers, Allison (USA)",Jonesborough,TN,39,3:19:30,F
